Line #,Key,en Version,az Translation
1,az.admin.js.true,true,true
2,az.admin.js.false,false,false
3,az.admin.js.is_present,Is present,Is present
4,az.admin.js.is_blank,Is blank,Is blank
5,az.admin.js.date,Date ...,Date ...
6,az.admin.js.between_and_,Between ... and ...,Between ... and ...
7,az.admin.js.today,Today,Today
8,az.admin.js.yesterday,Yesterday,Yesterday
9,az.admin.js.this_week,This week,This week
10,az.admin.js.last_week,Last week,Last week
11,az.admin.js.number,Number ...,Number ...
12,az.admin.js.contains,Contains,Contains
13,az.admin.js.is_exactly,Is exactly,Is exactly
14,az.admin.js.starts_with,Starts with,Starts with
15,az.admin.js.ends_with,Ends with,Ends with
16,az.admin.js.too_many_objects,"Too many objects, use search box above","Too many objects, use search box above"
17,az.admin.js.no_objects,No objects found,No objects found
18,az.admin.loading,Loading...,Loading...
19,az.admin.toggle_navigation,Toggle navigation,Toggle navigation
20,az.admin.home.name,Home,Home
21,az.admin.pagination.previous,&laquo; Prev,&laquo; Prev
22,az.admin.pagination.next,Next &raquo;,Next &raquo;
23,az.admin.pagination.truncate,…,…
24,az.admin.misc.search,Search,Search
25,az.admin.misc.filter,Filter,Filter
26,az.admin.misc.refresh,Refresh,Refresh
27,az.admin.misc.show_all,Show all,Show all
28,az.admin.misc.add_filter,Add filter,Add filter
29,az.admin.misc.bulk_menu_title,Selected items,Selected items
30,az.admin.misc.remove,Remove,Remove
31,az.admin.misc.add_new,Add new,Add new
32,az.admin.misc.chosen,Chosen %{name},Chosen %{name}
33,az.admin.misc.chose_all,Choose all,Choose all
34,az.admin.misc.clear_all,Clear all,Clear all
35,az.admin.misc.up,Up,Up
36,az.admin.misc.down,Down,Down
37,az.admin.misc.navigation,Navigation,Navigation
38,az.admin.misc.navigation_static_label,Links,Links
39,az.admin.misc.log_out,Log out,Log out
40,az.admin.misc.ago,ago,ago
41,az.admin.misc.more,Plus %{count} more %{models_name},Plus %{count} more %{models_name}
42,az.admin.flash.successful,%{name} successfully %{action},%{name} successfully %{action}
43,az.admin.flash.error,%{name} failed to be %{action},%{name} failed to be %{action}
44,az.admin.flash.noaction,No actions were taken,No actions were taken
45,az.admin.flash.model_not_found,Model '%{model}' could not be found,Model '%{model}' could not be found
46,az.admin.flash.object_not_found,%{model} with id '%{id}' could not be found,%{model} with id '%{id}' could not be found
47,az.admin.table_headers.model_name,Model name,Model name
48,az.admin.table_headers.last_created,Last created,Last created
49,az.admin.table_headers.records,Records,Records
50,az.admin.table_headers.username,User,User
51,az.admin.table_headers.changes,Changes,Changes
52,az.admin.table_headers.created_at,Date/Time,Date/Time
53,az.admin.table_headers.item,Item,Item
54,az.admin.table_headers.message,Message,Message
55,az.admin.actions.dashboard.title,Site Administration,Site Administration
56,az.admin.actions.dashboard.menu,Dashboard,Dashboard
57,az.admin.actions.dashboard.breadcrumb,Dashboard,Dashboard
58,az.admin.actions.index.title,List of %{model_label_plural},List of %{model_label_plural}
59,az.admin.actions.index.menu,List,List
60,az.admin.actions.index.breadcrumb,%{model_label_plural},%{model_label_plural}
61,az.admin.actions.show.title,Details for %{model_label} '%{object_label}',Details for %{model_label} '%{object_label}'
62,az.admin.actions.show.menu,Show,Show
63,az.admin.actions.show.breadcrumb,%{object_label},%{object_label}
64,az.admin.actions.show_in_app.menu,Show in app,Show in app
65,az.admin.actions.new.title,New %{model_label},New %{model_label}
66,az.admin.actions.new.menu,Add new,Add new
67,az.admin.actions.new.breadcrumb,New,New
68,az.admin.actions.new.link,Add a new %{model_label},Add a new %{model_label}
69,az.admin.actions.new.done,created,created
70,az.admin.actions.edit.title,Edit %{model_label} '%{object_label}',Edit %{model_label} '%{object_label}'
71,az.admin.actions.edit.menu,Edit,Edit
72,az.admin.actions.edit.breadcrumb,Edit,Edit
73,az.admin.actions.edit.link,Edit this %{model_label},Edit this %{model_label}
74,az.admin.actions.edit.done,updated,updated
75,az.admin.actions.delete.title,Delete %{model_label} '%{object_label}',Delete %{model_label} '%{object_label}'
76,az.admin.actions.delete.menu,Delete,Delete
77,az.admin.actions.delete.breadcrumb,Delete,Delete
78,az.admin.actions.delete.link,Delete '%{object_label}',Delete '%{object_label}'
79,az.admin.actions.delete.done,deleted,deleted
80,az.admin.actions.bulk_delete.title,Delete %{model_label_plural},Delete %{model_label_plural}
81,az.admin.actions.bulk_delete.menu,Multiple delete,Multiple delete
82,az.admin.actions.bulk_delete.breadcrumb,Multiple delete,Multiple delete
83,az.admin.actions.bulk_delete.bulk_link,Delete selected %{model_label_plural},Delete selected %{model_label_plural}
84,az.admin.actions.export.title,Export %{model_label_plural},Export %{model_label_plural}
85,az.admin.actions.export.menu,Export,Export
86,az.admin.actions.export.breadcrumb,Export,Export
87,az.admin.actions.export.link,Export found %{model_label_plural},Export found %{model_label_plural}
88,az.admin.actions.export.bulk_link,Export selected %{model_label_plural},Export selected %{model_label_plural}
89,az.admin.actions.export.done,exported,exported
90,az.admin.actions.history_index.title,History for %{model_label_plural},History for %{model_label_plural}
91,az.admin.actions.history_index.menu,History,History
92,az.admin.actions.history_index.breadcrumb,History,History
93,az.admin.actions.history_show.title,History for %{model_label} '%{object_label}',History for %{model_label} '%{object_label}'
94,az.admin.actions.history_show.menu,History,History
95,az.admin.actions.history_show.breadcrumb,History,History
96,az.admin.actions.user_soft_delete.title,Delete %{model_label} '%{object_label}',Delete %{model_label} '%{object_label}'
97,az.admin.actions.user_soft_delete.menu,Delete,Delete
98,az.admin.actions.user_soft_delete.breadcrumb,Delete,Delete
99,az.admin.actions.user_soft_delete.link,Delete '%{object_label}',Delete '%{object_label}'
100,az.admin.actions.user_soft_delete.done,deleted,deleted
101,az.admin.actions.changelog.title,Change Log,Change Log
102,az.admin.actions.changelog.menu,Change Log,Change Log
103,az.admin.actions.changelog.breadcrumb,Change Log,Change Log
104,az.admin.actions.changelog.version,Version,Version
105,az.admin.form.cancel,Cancel,Cancel
106,az.admin.form.basic_info,Basic info,Basic info
107,az.admin.form.required,Required,Required
108,az.admin.form.optional,Optional,Optional
109,az.admin.form.one_char,character,character
110,az.admin.form.char_length_up_to,length up to,length up to
111,az.admin.form.char_length_of,length of,length of
112,az.admin.form.save,Save,Save
113,az.admin.form.save_and_add_another,Save and add another,Save and add another
114,az.admin.form.save_and_edit,Save and edit,Save and edit
115,az.admin.form.all_of_the_following_related_items_will_be_deleted,? The following related items may be deleted or orphaned:,? The following related items may be deleted or orphaned:
116,az.admin.form.are_you_sure_you_want_to_delete_the_object,Are you sure you want to delete this %{model_name},Are you sure you want to delete this %{model_name}
117,az.admin.form.confirmation,"Yes, I'm sure","Yes, I'm sure"
118,az.admin.form.bulk_delete,"The following objects will be deleted, which may delete or orphan some of their related dependencies:","The following objects will be deleted, which may delete or orphan some of their related dependencies:"
119,az.admin.form.new_model,%{name} (new),%{name} (new)
120,az.admin.export.confirmation,Export to %{name},Export to %{name}
121,az.admin.export.select,Select fields to export,Select fields to export
122,az.admin.export.select_all_fields,Select All Fields,Select All Fields
123,az.admin.export.fields_from,Fields from %{name},Fields from %{name}
124,az.admin.export.fields_from_associated,Fields from associated %{name},Fields from associated %{name}
125,az.admin.export.display,Display %{name}: %{type},Display %{name}: %{type}
126,az.admin.export.options_for,Options for %{name},Options for %{name}
127,az.admin.export.empty_value_for_associated_objects,<empty>,<empty>
128,az.admin.export.click_to_reverse_selection,Click to reverse selection,Click to reverse selection
129,az.admin.export.csv.header_for_root_methods,%{name},%{name}
130,az.admin.export.csv.header_for_association_methods,%{name} [%{association}],%{name} [%{association}]
131,az.admin.export.csv.encoding_to,Encode to,Encode to
132,az.admin.export.csv.encoding_to_help,Choose output encoding. Leave empty to let current input encoding untouched: (%{name}),Choose output encoding. Leave empty to let current input encoding untouched: (%{name})
133,az.admin.export.csv.skip_header,No header,No header
134,az.admin.export.csv.skip_header_help,Do not output a header (no fields description),Do not output a header (no fields description)
135,az.admin.export.csv.default_col_sep,",",","
136,az.admin.export.csv.col_sep,Column separator,Column separator
137,az.admin.export.csv.col_sep_help,Leave blank for default ('%{value}'),Leave blank for default ('%{value}')
138,az.admin.help.required_for_publication,Required for making public,Required for making public
139,az.admin.help.soft_delete,"To re-activate a user, delete the date","To re-activate a user, delete the date"
140,az.admin.help.sort,Drag and drop the items to put them in the order you want them to appear,Drag and drop the items to put them in the order you want them to appear
141,az.admin.help.move,Drag this item up or down to change the order you want them to appear,Drag this item up or down to change the order you want them to appear
142,az.admin.help.only_public_items,Only published items are shown in the list,Only published items are shown in the list
143,az.admin.help.only_active_languages,Only active languages are shown in the list,Only active languages are shown in the list
144,az.admin.help.missing_annotation_image,"After you load an illustration, the image will appear here.","After you load an illustration, the image will appear here."
145,az.admin.help.annotation.add,Place marker on image,Place marker on image
146,az.admin.help.image,"Only jpg, jpeg or png files are allowed. Image must be less than 5MB.","Only jpg, jpeg or png files are allowed. Image must be less than 5MB."
147,az.admin.help.image_size.highlight,Image should be at least 900x632px.,Image should be at least 900x632px.
148,az.admin.help.image_size.illustration,"On listing pages, this image will have a size of 400x400px.","On listing pages, this image will have a size of 400x400px."
149,az.admin.help.image_size.person,"On listing pages, this image will have a size of 400x400px.","On listing pages, this image will have a size of 400x400px."
150,az.admin.help.image_size.news,"One listing pages, this image will have a size of 438x326px and 400x204px.","One listing pages, this image will have a size of 438x326px and 400x204px."
151,az.admin.help.image_size.research,"One listing pages, this image will have a size of 438x326px.","One listing pages, this image will have a size of 438x326px."
152,az.admin.help.image_size.publication,"One listing pages, this image will have a size of 400x204px.","One listing pages, this image will have a size of 400x204px."
153,az.admin.help.image_size.slideshow,Image should have a width of at least 844px.,Image should have a width of at least 844px.
154,az.admin.help.file,Only PDF files are allowed. File must be less than 30MB.,Only PDF files are allowed. File must be less than 30MB.
155,az.admin.help.person,Only published People are shown.,Only published People are shown.
156,az.admin.help.slideshow_placeholder,"By default the slideshow will appear at the end of this text. If you want it to appear in the text, add the text [slideshow] into the text where you want it to appear.","By default the slideshow will appear at the end of this text. If you want it to appear in the text, add the text [slideshow] into the text where you want it to appear."
157,az.admin.help.is_illustrator,Illustrators are a special role that requires additional processing and this flag is used to know if the role is an illustrator.,Illustrators are a special role that requires additional processing and this flag is used to know if the role is an illustrator.
158,az.admin.help.page_content_name,This is just a unique value that can be used to find and show the correct content on a page.,This is just a unique value that can be used to find and show the correct content on a page.
159,az.admin.help.required,Required,Required
160,az.admin.help.crop_alignment,The image will be cropped to create the thumbnail for the listing pages. Use this field to indicate what area of the image you want to use for the thumbnail.,The image will be cropped to create the thumbnail for the listing pages. Use this field to indicate what area of the image you want to use for the thumbnail.
161,az.admin.errors.required_for_publication,is required for making the language public,is required for making the language public
162,az.admin.errors.required_related_item,is required,is required
